country,month,carbon
Afghanistan,1,57580535.40625
Afghanistan,2,529417169.84375
Afghanistan,3,73304045.75
Afghanistan,4,277040196.73046875
Afghanistan,5,2658019054
Afghanistan,6,1964302992.625
Afghanistan,7,3857088053.5
Afghanistan,8,299738676.125
Albania,1,692424256
Albania,2,871347592
Albania,3,3635651538
Albania,4,2240321577
Albania,5,1156211444
Albania,6,18086008
Albania,7,4849224677
Albania,8,3133919022
Algeria,1,503487305.1875
Algeria,2,555556967.3603516
Algeria,3,951309293.0625
Algeria,4,498049317.2626953
Algeria,5,160459241.788208
Algeria,6,5782277174.456055
Algeria,7,120196719582.1875
Algeria,8,77465487678.75
Angola,1,22482087416
Angola,2,52029730266
Angola,3,83455690560
Angola,4,178126586947
Angola,5,6529147316321
Angola,6,28725365320073
Angola,7,48509037613406.5
Angola,8,15602794696458
Argentina,1,388989532925.75
Argentina,2,632506140181.5
Argentina,3,1351771723423.75
Argentina,4,1065935036305.5938
Argentina,5,820063661510.75
Argentina,6,922542760943.75
Argentina,7,1981522861682.9375
Argentina,8,3395632963166.375
Armenia,1,1226139784
Armenia,2,3297696816
Armenia,3,3335691696
Armenia,4,2171733216
Armenia,5,115038156
Armenia,6,105152640
Armenia,7,1007340976
Armenia,8,281158304
Australia,1,44321956352123
Australia,2,6604231306338
Australia,3,777731923772.25
Australia,4,1764860223205.414
Australia,5,4110593332348.922
Australia,6,3987864890773
Australia,7,5856114305269
Australia,8,603579962149.75
Austria,1,0
Austria,2,0
Austria,3,1067777414
Austria,4,4143453974
Austria,5,0
Austria,6,401173520
Austria,7,3449660344
Austria,8,3416600776
Azerbaijan,1,5529859842
Azerbaijan,2,32273867206.5
Azerbaijan,3,15298906089.625
Azerbaijan,4,7074526246.875
Azerbaijan,5,1756499403
Azerbaijan,6,6930327492
Azerbaijan,7,26359842331
Azerbaijan,8,10331669063
Bahamas,1,0
Bahamas,2,1724903456
Bahamas,3,1795986624
Bahamas,4,4564314688
Bahamas,5,69934376
Bahamas,6,112346232
Bahamas,7,0
Bahamas,8,0
Bangladesh,1,1580266187
Bangladesh,2,2507335843.1875
Bangladesh,3,549546431617.5625
Bangladesh,4,315051479716.5
Bangladesh,5,4728865053
Bangladesh,6,366459056
Bangladesh,7,679810210
Bangladesh,8,126814228
Belarus,1,451040800
Belarus,2,8519103152
Belarus,3,163640737842.25
Belarus,4,2268094809600
Belarus,5,11103679551.125
Belarus,6,12106621094
Belarus,7,4884254240
Belarus,8,4268709572
Belgium,1,0
Belgium,2,0
Belgium,3,148399558.5
Belgium,4,160544314.3125
Belgium,5,141770873.75
Belgium,6,51803884
Belgium,7,125698768.5
Belgium,8,48785042
Belize,1,10247885824
Belize,2,11759359344
Belize,3,38508041512
Belize,4,339495433392
Belize,5,174406503536
Belize,6,3543725800
Belize,7,20336963514
Belize,8,0
Benin,1,588250699790.4375
Benin,2,926017835871.75
Benin,3,203384927267.125
Benin,4,47919152434
Benin,5,17128345300
Benin,6,227813008
Benin,7,0
Benin,8,107807352
Bhutan,1,3548315400
Bhutan,2,15988547944
Bhutan,3,12572915928
Bhutan,4,42528933608
Bhutan,5,0
Bhutan,6,0
Bhutan,7,0
Bhutan,8,0
Bolivia,1,590553726201
Bolivia,2,96068806300
Bolivia,3,811025836304
Bolivia,4,326268252923
Bolivia,5,366790551968.5
Bolivia,6,412473891214.53125
Bolivia,7,2585209288005
Bolivia,8,3117732102818.75
Bosnia and Herz.,1,8817216892
Bosnia and Herz.,2,19446499740
Bosnia and Herz.,3,63997487328
Bosnia and Herz.,4,247786561584
Bosnia and Herz.,5,47088256
Bosnia and Herz.,6,533436160
Bosnia and Herz.,7,1566994184
Bosnia and Herz.,8,404077760
Botswana,1,1666780646
Botswana,2,3576685312
Botswana,3,248961794
Botswana,4,345840412
Botswana,5,5854939633.5
Botswana,6,10555238710
Botswana,7,70310234091
Botswana,8,42336590887.75
Brazil,1,1516059517409.75
Brazil,2,1130693089435.25
Brazil,3,2507462411622.5
Brazil,4,2491372456066.375
Brazil,5,2367497627270.4375
Brazil,6,5156875682801
Brazil,7,14520167876783.625
Brazil,8,30950616680608
Brunei,1,14379211
Brunei,2,2504960696
Brunei,3,0
Brunei,4,141683296
Brunei,5,0
Brunei,6,0
Brunei,7,0
Brunei,8,0
Bulgaria,1,13013312574
Bulgaria,2,21929949496
Bulgaria,3,9533879491
Bulgaria,4,11447490566
Bulgaria,5,130548840
Bulgaria,6,2486320936
Bulgaria,7,15726333656
Bulgaria,8,26223134752
Burkina Faso,1,322688218753.25
Burkina Faso,2,227383665829.5
Burkina Faso,3,59552159831
Burkina Faso,4,22221215494
Burkina Faso,5,2957742292
Burkina Faso,6,306977272
Burkina Faso,7,0
Burkina Faso,8,0
Burundi,1,0
Burundi,2,217526560
Burundi,3,0
Burundi,4,0
Burundi,5,5860680408
Burundi,6,29696416536
Burundi,7,61744652488
Burundi,8,42215002384
Cambodia,1,11496320744882
Cambodia,2,11383392938386
Cambodia,3,4931853723664
Cambodia,4,1481027131998
Cambodia,5,241915031754
Cambodia,6,61251975105
Cambodia,7,38381722658
Cambodia,8,501025708
Cameroon,1,5856011688160
Cameroon,2,8418817610592
Cameroon,3,2080587776884
Cameroon,4,136812702356
Cameroon,5,38458347586
Cameroon,6,50664992520
Cameroon,7,3688690108
Cameroon,8,9091363432
Canada,1,40386481686
Canada,2,42138248212
Canada,3,16846519078.75
Canada,4,65408336965.16406
Canada,5,1128598476916.1875
Canada,6,7754340083886
Canada,7,381054417266.75
Canada,8,104406000729
Central African Rep.,1,37526318367616
Central African Rep.,2,24458151345648
Central African Rep.,3,3340517124488
Central African Rep.,4,331378032232
Central African Rep.,5,45143231376
Central African Rep.,6,12934313404
Central African Rep.,7,2722377560
Central African Rep.,8,131814204
Chad,1,4197494522825
Chad,2,2766229389998
Chad,3,1035617475224
Chad,4,273860736398
Chad,5,65266003444
Chad,6,50658996724
Chad,7,1693603632
Chad,8,57973932
Chile,1,199765650723.6875
Chile,2,637605816274.5625
Chile,3,316130043615
Chile,4,323181663475
Chile,5,168572438729.5
Chile,6,29164224701.53125
Chile,7,725532339
Chile,8,2003477366
China,1,565936480072.5625
China,2,624531464807.1875
China,3,2884234823586.2344
China,4,3796552005506
China,5,924768944053.3125
China,6,471657333791.8125
China,7,898943373505.53125
China,8,452280247537.25
Colombia,1,1525656858651
Colombia,2,4390851869292.75
Colombia,3,5141927222341
Colombia,4,652946875345
Colombia,5,87787275640
Colombia,6,53808683043
Colombia,7,91050393490
Colombia,8,52232867981
Comoros,1,317550816
Comoros,2,0
Comoros,3,115173872
Comoros,4,204022272
Comoros,5,0
Comoros,6,408044544
Comoros,7,0
Comoros,8,0
Congo,1,788821618928
Congo,2,968591661572
Congo,3,1665617483710
Congo,4,788673326078
Congo,5,528644917006
Congo,6,924261930408
Congo,7,2380651853298
Congo,8,2666918804856
Costa Rica,1,13821084540
Costa Rica,2,23646719260
Costa Rica,3,135803048887
Costa Rica,4,44046545632
Costa Rica,5,12301128572
Costa Rica,6,0
Costa Rica,7,1568180250
Costa Rica,8,1149099014
Côte d'Ivoire,1,2010089084300.75
Côte d'Ivoire,2,2973722789072.375
Côte d'Ivoire,3,356833422480
Côte d'Ivoire,4,78243079052.5
Côte d'Ivoire,5,52284067139.5
Côte d'Ivoire,6,6467059048
Côte d'Ivoire,7,490675825.9375
Côte d'Ivoire,8,3677964077
Croatia,1,585135802
Croatia,2,7823309348
Croatia,3,13152471960
Croatia,4,38355184238
Croatia,5,66163856
Croatia,6,638985240
Croatia,7,1991541996
Croatia,8,3141059360
Cuba,1,145059806960
Cuba,2,299280536160
Cuba,3,1107940362020
Cuba,4,1131697592824
Cuba,5,96760145685
Cuba,6,4235303079
Cuba,7,7443593014
Cuba,8,1127221670
Cyprus,1,0
Cyprus,2,0
Cyprus,3,0
Cyprus,4,1377691.5
Cyprus,5,90968808
Cyprus,6,0
Cyprus,7,0
Cyprus,8,670501824
Czech Rep.,1,0
Czech Rep.,2,227617984
Czech Rep.,3,211339728
Czech Rep.,4,43378564150
Czech Rep.,5,162892502
Czech Rep.,6,271419304
Czech Rep.,7,2623508278
Czech Rep.,8,1507758032
Dem. Rep. Congo,1,12495906453956
Dem. Rep. Congo,2,19450016530276
Dem. Rep. Congo,3,8187178003952
Dem. Rep. Congo,4,3000463695970
Dem. Rep. Congo,5,12602130977720
Dem. Rep. Congo,6,47627815793012.5
Dem. Rep. Congo,7,69547332791345.5
Dem. Rep. Congo,8,29902553771959.5
Dem. Rep. Korea,1,0
Dem. Rep. Korea,2,457107760
Dem. Rep. Korea,3,32568463521
Dem. Rep. Korea,4,95295956449
Dem. Rep. Korea,5,13548282838
Dem. Rep. Korea,6,958849652
Dem. Rep. Korea,7,416275616
Dem. Rep. Korea,8,112591316
Denmark,1,0
Denmark,2,0
Denmark,3,70523386
Denmark,4,427732238
Denmark,5,98098566.5
Denmark,6,26180292
Denmark,7,450070128
Denmark,8,158144026
Djibouti,1,0
Djibouti,2,0
Djibouti,3,0
Djibouti,4,66572078.875
Djibouti,5,67985165.25
Djibouti,6,0
Djibouti,7,21310032
Djibouti,8,147477792
Dominican Rep.,1,9164420078
Dominican Rep.,2,13493924986
Dominican Rep.,3,29878227559
Dominican Rep.,4,82993264420
Dominican Rep.,5,21533915304
Dominican Rep.,6,20562616392
Dominican Rep.,7,6757439572
Dominican Rep.,8,6007617112
Ecuador,1,12197049337.625
Ecuador,2,13147045702
Ecuador,3,4657567398
Ecuador,4,1310101233
Ecuador,5,12733617869.375
Ecuador,6,5381641013.5
Ecuador,7,4683625527
Ecuador,8,9651250958
Egypt,1,536055983.5
Egypt,2,917407199.99609375
Egypt,3,1346167040.875
Egypt,4,513534422.0625
Egypt,5,4475779168.53125
Egypt,6,3036176671.25
Egypt,7,4971381906.40625
Egypt,8,291383181.140625
El Salvador,1,21404068957.5
El Salvador,2,28712775322
El Salvador,3,47121554258.25
El Salvador,4,30180548099
El Salvador,5,2347724459
El Salvador,6,796615224
El Salvador,7,5690675551
El Salvador,8,614395723.75
Eq. Guinea,1,3917117200
Eq. Guinea,2,12186004984
Eq. Guinea,3,5877833248
Eq. Guinea,4,0
Eq. Guinea,5,0
Eq. Guinea,6,0
Eq. Guinea,7,3815605280
Eq. Guinea,8,10614507360
Eritrea,1,11776652137
Eritrea,2,6110351010
Eritrea,3,24394397148.25
Eritrea,4,10202609700.5625
Eritrea,5,2290778221.25
Eritrea,6,1094472926.375
Eritrea,7,30053095
Eritrea,8,0
Estonia,1,0
Estonia,2,0
Estonia,3,1486281696
Estonia,4,346164864
Estonia,5,1712055630
Estonia,6,618675144
Estonia,7,293268346
Estonia,8,114449688
Ethiopia,1,1942277341795.5
Ethiopia,2,2936913872110.5
Ethiopia,3,2729857739197.5
Ethiopia,4,1025164754871.75
Ethiopia,5,108769185216.9375
Ethiopia,6,53523231482
Ethiopia,7,27397359066.5
Ethiopia,8,24910664073
Falkland Is.,1,0
Falkland Is.,2,33805264
Falkland Is.,3,0
Falkland Is.,4,0
Falkland Is.,5,0
Falkland Is.,6,0
Falkland Is.,7,0
Falkland Is.,8,0
Finland,1,0
Finland,2,0
Finland,3,0
Finland,4,564685056
Finland,5,1031438666
Finland,6,7750885136
Finland,7,86863944
Finland,8,0
France,1,3272576376
France,2,80828475292.5
France,3,14072901523
France,4,4759829109
France,5,22235500053
France,6,8684159430
France,7,323441850692.5
France,8,7240215495.75
Gabon,1,58447323492
Gabon,2,48170850950
Gabon,3,64506368696
Gabon,4,51762625008
Gabon,5,35391775400
Gabon,6,163044921168
Gabon,7,400086964832
Gabon,8,342771827268
Gambia,1,107559442560
Gambia,2,185369041952
Gambia,3,73905961248
Gambia,4,46206255408
Gambia,5,14168183320
Gambia,6,8793171766
Gambia,7,42885634
Gambia,8,0
Georgia,1,18885815960
Georgia,2,29389703472
Georgia,3,105176612752
Georgia,4,2013751760
Georgia,5,1265790784
Georgia,6,984211004
Georgia,7,57898897132
Georgia,8,4763421936
Germany,1,0
Germany,2,0
Germany,3,5178927420
Germany,4,20531379462.875
Germany,5,2183700896.5
Germany,6,2327220439
Germany,7,6741098987
Germany,8,4712977990.8125
Ghana,1,6031719125296
Ghana,2,3968348421158.375
Ghana,3,380720397352.5
Ghana,4,185203655616
Ghana,5,54021817373
Ghana,6,1013671144
Ghana,7,933240440
Ghana,8,8199881111
Greece,1,6988956236
Greece,2,4253485280
Greece,3,2298929481.75
Greece,4,945228671.5
Greece,5,425098444
Greece,6,716059640
Greece,7,11587136795.5
Greece,8,7616271472
Greenland,1,0
Greenland,2,0
Greenland,3,0
Greenland,4,0
Greenland,5,66957944
Greenland,6,68572504
Greenland,7,90326202
Greenland,8,0
Guatemala,1,56171169890
Guatemala,2,90772251240
Guatemala,3,376781658140
Guatemala,4,1880127241394
Guatemala,5,355551094928
Guatemala,6,8904055572
Guatemala,7,6836779275
Guatemala,8,810489060
Guinea,1,3731001281265.125
Guinea,2,4721845071836
Guinea,3,3530779359653
Guinea,4,2258993780707
Guinea,5,964710693268
Guinea,6,8643886510
Guinea,7,187380468
Guinea,8,66677144
Guinea-Bissau,1,68964634934
Guinea-Bissau,2,234127600255
Guinea-Bissau,3,354354666868.75
Guinea-Bissau,4,165036622272
Guinea-Bissau,5,859453969232
Guinea-Bissau,6,89210620583
Guinea-Bissau,7,0
Guinea-Bissau,8,0
Guyana,1,35708812816
Guyana,2,105483407174
Guyana,3,157845344616
Guyana,4,191115542576
Guyana,5,11017258240
Guyana,6,2906661120
Guyana,7,3849268766
Guyana,8,1724604416
Haiti,1,7555602144
Haiti,2,7843711816
Haiti,3,13115666876
Haiti,4,5588304186
Haiti,5,4110598064
Haiti,6,2180403446
Haiti,7,409635868
Haiti,8,673246448
Honduras,1,37001929895
Honduras,2,134901108268
Honduras,3,312006977632
Honduras,4,4383510883312
Honduras,5,727354689804
Honduras,6,20193392032
Honduras,7,12996025022
Honduras,8,2593596970
Hungary,1,45132072
Hungary,2,2328021966
Hungary,3,10874853366
Hungary,4,17168036826
Hungary,5,10251637556
Hungary,6,104327144
Hungary,7,1448671376
Hungary,8,2872081244
India,1,227114418280.625
India,2,488964418211
India,3,4141173336171.8125
India,4,1974543468494.1562
India,5,734701614462.25
India,6,65422559533
India,7,20227926191.859375
India,8,7823772979.191406
Indonesia,1,415791784882.25
Indonesia,2,1178633231659.25
Indonesia,3,1167494574155.5
Indonesia,4,511173024832.5
Indonesia,5,177476004637.375
Indonesia,6,168102662516.375
Indonesia,7,304048146701.75
Indonesia,8,229270972855
Iran,1,1008582048.2363281
Iran,2,23892077340.871094
Iran,3,4063990001.140625
Iran,4,3127941803.5
Iran,5,14358705511.015625
Iran,6,28796525021.648438
Iran,7,16107165714.984375
Iran,8,4019215240.734375
Iraq,1,400801888.484375
Iraq,2,761757067.109375
Iraq,3,679481025.40625
Iraq,4,638267378.078125
Iraq,5,18836142044.460938
Iraq,6,55005927320.71875
Iraq,7,23580138487.15625
Iraq,8,9441398496.75
Ireland,1,0
Ireland,2,0
Ireland,3,342419904
Ireland,4,3454299601
Ireland,5,1658542569
Ireland,6,523971794
Ireland,7,0
Ireland,8,26570146
Israel,1,6313286.5
Israel,2,362945.6875
Israel,3,35836476
Israel,4,23485830.25
Israel,5,138609622
Israel,6,928151418
Israel,7,3627643858
Israel,8,69763414
Italy,1,3402234460
Italy,2,18024084039
Italy,3,12797599537.375
Italy,4,17647499160.75
Italy,5,6756884042
Italy,6,19992212069
Italy,7,107507414594.5
Italy,8,81702078064.75
Jamaica,1,241807735
Jamaica,2,1272455842
Jamaica,3,2606546294
Jamaica,4,8283077841
Jamaica,5,5568927704
Jamaica,6,3099537524
Jamaica,7,848532238
Jamaica,8,402320463.75
Japan,1,999212576
Japan,2,45798422564
Japan,3,177479509874
Japan,4,95455330350
Japan,5,29010340124.5
Japan,6,24266612456
Japan,7,41695391050
Japan,8,63459061856
Jordan,1,233853.71875
Jordan,2,701659.78125
Jordan,3,0
Jordan,4,0
Jordan,5,13223366.5
Jordan,6,79672028.9375
Jordan,7,4536044.875
Jordan,8,0
Kazakhstan,1,351881712.5
Kazakhstan,2,21781031906.5
Kazakhstan,3,647107828332.5625
Kazakhstan,4,1615210043577.5
Kazakhstan,5,177100537961.25
Kazakhstan,6,1601342538624.6875
Kazakhstan,7,1195062066968
Kazakhstan,8,214197327788
Kenya,1,14995685266
Kenya,2,43198938999
Kenya,3,308805551476.5
Kenya,4,18888905009
Kenya,5,58525392918
Kenya,6,253277322715.6875
Kenya,7,608918067084
Kenya,8,124566168846.75
Korea,1,0
Korea,2,3424615412
Korea,3,12950898538
Korea,4,26464545919.5
Korea,5,9796065616
Korea,6,14445917784
Korea,7,24048515520
Korea,8,930010984
Kosovo,1,235550336
Kosovo,2,773110568
Kosovo,3,4050708524
Kosovo,4,20594622084
Kosovo,5,583470336
Kosovo,6,67969864
Kosovo,7,3913121976
Kosovo,8,1464251482
Kuwait,1,8385012.34375
Kuwait,2,57680501.625
Kuwait,3,25934910.78125
Kuwait,4,14541793.7578125
Kuwait,5,36501498.078125
Kuwait,6,65713745.109375
Kuwait,7,3286730.75
Kuwait,8,262423.8125
Kyrgyzstan,1,25701062
Kyrgyzstan,2,148080408
Kyrgyzstan,3,16426780002
Kyrgyzstan,4,3141007735
Kyrgyzstan,5,37239672
Kyrgyzstan,6,365438944
Kyrgyzstan,7,4669821128
Kyrgyzstan,8,312754320
Lao PDR,1,550078146960
Lao PDR,2,2063890284060
Lao PDR,3,10470886118340
Lao PDR,4,4339336738318
Lao PDR,5,425988659032
Lao PDR,6,13468943762
Lao PDR,7,2911958930
Lao PDR,8,0
Latvia,1,0
Latvia,2,0
Latvia,3,825881128
Latvia,4,1771477842
Latvia,5,1227437020
Latvia,6,1285569906
Latvia,7,653943041
Latvia,8,86953088
Lebanon,1,0
Lebanon,2,0
Lebanon,3,15544470
Lebanon,4,0
